"100","225","NLP","NETWORK","NLP_CRIME","33.8002018","-117.2206036","33.8004891","-117.2202613","44.955","147.49","8.975","29.45","04/05/2026 12:58:36","04/05/2026 12:58:43","7.263","","","1775422716003","1775422723266","Fix,NLP,33.8004891000,-117.2202613000,405.5,,20.66,,1775422723266,,,3235013000000,1.0,0,,,","33.80047585","-117.22027869","311","480","11268","11297539","-102","LTE","LTE","5230","242","2.2","33.80047585,-117.22027869,399,311,480,11268,11297539,-102,LTE,LTE,5230,242"
"109","243","NLP","NETWORK","NLP_CRIME","33.8004891","-117.2202613","33.8005402","-117.2202316","6.31","20.7","14.065","46.15","04/05/2026 12:58:43","04/05/2026 12:58:50","7.271","","","1775422723266","1775422730537","Fix,NLP,33.8005402000,-117.2202316000,405.5,,25.38,,1775422730537,,,3242284000000,1.0,0,,,","33.80047585","-117.22027869","311","480","11268","11297539","-102","LTE","LTE","5230","242","8.4","33.80047585,-117.22027869,399,311,480,11268,11297539,-102,LTE,LTE,5230,242"
"116","256","NLP","NETWORK","NLP_CRIME","33.8005402","-117.2202316","33.8002324","-117.2204398","39.262","128.81","27.052","88.75","04/05/2026 12:58:50","04/05/2026 12:58:57","6.823","","","1775422730537","1775422737360","Fix,NLP,33.8002324000,-117.2204398000,405.5,,41.58,,1775422737360,,,3249107000000,1.0,0,,,","33.80036954","-117.22042412","311","480","11268","11320577","-106","LTE","LTE","5230","111","15.3","33.80036954,-117.22042412,406,311,480,11268,11320577,-106,LTE,LTE,5230,111"
"125","276","NLP","NETWORK","NLP_CRIME","33.8002324","-117.2204398","33.8005069","-117.220244","35.482","116.41","11.181","36.68","04/05/2026 12:58:57","04/05/2026 12:59:04","7.2","","","1775422737360","1775422744560","Fix,NLP,33.8005069000,-117.2202440000,405.5,,24.78,,1775422744560,,,3256307000000,1.0,0,,,","33.80047585","-117.22027869","311","480","11268","11297539","-102","LTE","LTE","5230","242","4.7","33.80047585,-117.22027869,399,311,480,11268,11297539,-102,LTE,LTE,5230,242"
"139","308","NLP","NETWORK","NLP_CRIME","33.8005081","-117.2202349","33.8003267","-117.2204013","25.363","83.21","15.987","52.45","04/05/2026 12:59:11","04/05/2026 12:59:17","5.807","","","1775422751738","1775422757545","Fix,NLP,33.8003267000,-117.2204013000,405.5,,37.367,,1775422757545,,,3269292000000,1.0,0,,,","33.80036954","-117.22042412","311","480","11268","11320577","-106","LTE","LTE","5230","111","5.2","33.80036954,-117.22042412,406,311,480,11268,11320577,-106,LTE,LTE,5230,111"
"147","324","NLP","NETWORK","NLP_CRIME","33.8003267","-117.2204013","33.8001494","-117.2206596","30.957","101.56","45.043","147.78","04/05/2026 12:59:17","04/05/2026 12:59:24","7.194","","","1775422757545","1775422764739","Fix,NLP,33.8001494000,-117.2206596000,405.5,,27.619,,1775422764739,,,3276486000000,1.0,0,,,","33.80036954","-117.22042412","311","480","11268","11320577","-106","LTE","LTE","5230","111","32.8","33.80036954,-117.22042412,406,311,480,11268,11320577,-106,LTE,LTE,5230,111"
"155","341","NLP","NETWORK","NLP_ANOMALY","33.8001494","-117.2206596","33.8001639","-117.2206095","4.902","16.08","40.967","134.41","04/05/2026 12:59:27","04/05/2026 12:59:32","4.607","","","1775422767422","1775422772029","Fix,NLP,33.8001639000,-117.2206095000,405.5,,23.289,,1775422772029,,,3283776000000,1.0,0,,,","33.80036954","-117.22042412","311","480","11268","11320577","-106","LTE","LTE","5230","111","28.6","33.80036954,-117.22042412,406,311,480,11268,11320577,-106,LTE,LTE,5230,111"
"171","378","NLP","NETWORK","NLP_ANOMALY","33.8001718","-117.2206085","33.8001948","-117.2205869","3.244","10.64","36.957","121.25","04/05/2026 12:59:39","04/05/2026 12:59:46","7.25","","","1775422779294","1775422786544","Fix,NLP,33.8001948000,-117.2205869000,405.5,,39.994,,1775422786544,,,3298291000000,1.0,0,,,","33.80036954","-117.22042412","311","480","11268","11320577","-106","LTE","LTE","5230","111","24.6","33.80036954,-117.22042412,406,311,480,11268,11320577,-106,LTE,LTE,5230,111"
"178","392","NLP","NETWORK","NLP_CRIME","33.8001948","-117.2205869","33.8001641","-117.2206471","6.526","21.41","43.046","141.23","04/05/2026 12:59:46","04/05/2026 12:59:53","6.83","","","1775422786544","1775422793374","Fix,NLP,33.8001641000,-117.2206471000,405.5,,36.456,,1775422793374,,,3305121000000,1.0,0,,,","33.80036954","-117.22042412","311","480","11268","11320577","-106","LTE","LTE","5230","111","30.8","33.80036954,-117.22042412,406,311,480,11268,11320577,-106,LTE,LTE,5230,111"
"186","408","NLP","NETWORK","NLP_CRIME","33.8001641","-117.2206471","33.8003961","-117.2202991","41.225","135.25","9.189","30.15","04/05/2026 12:59:53","04/05/2026 13:00:00","7.103","","","1775422793374","1775422800477","Fix,NLP,33.8003961000,-117.2202991000,405.5,,27.78,,1775422800477,,,3312224000000,1.0,0,,,","33.8004258","-117.22032593","311","480","11268","11297570","-101","LTE","LTE","1000","242","4.1","33.8004258,-117.22032593,411,311,480,11268,11297570,-101,LTE,LTE,1000,242"
